,Index,Strokes,Meanings,Readings,krad,Kanji,Grade,Kanji Classification,JLPT-test,Kanji Frequency with Proper Nouns,Kanji Frequency without Proper Nouns,Symmetry
 ,0,[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
々,1,3,[' kanji repetition mark]'],['のま'],['々'],,,,,,,
一,2,1,"[' one best first/foremost beginning/start a (single)/one (of many) ace (playing card) bottom string (on a shamisen, etc.),', ' one for one thing only (not) even just (e.g. ""just try it"") some kind of/one type of, イー', ' one,', ' most/best,', ' one one,', ' one same (mind, path, etc.)]']","['いち', 'ひとつ', 'つ', 'いっち', 'ひと', 'いつ']",['一'],['一'],[1],['指事 Ideographic'],[5],[1037182],[848362],['R']
丁,3,2,"[' counter for leaves in a book (esp. one with traditional Japanese-style binding) counter for blocks of tofu/counter for servings in a restaurant counter for long and narrow things such as guns, scissors, spades, hoes, inksticks, palanquins, candles, jinrikishas, shamisen, oars, etc. even number 109.09 m,', ' fourth rank/fourth class/fourth party (in a contract, etc.) fourth sign of the Chinese calendar Denmark]']","['ちょう', 'てい']","['一', '亅']",['丁'],[3],['象形 Pictographic'],[1],[14027],[13222],['S']
七,4,2,"[' seven hepta-, チー', ' seven]']",['しち'],"['乙', '匕', 'ノ']",['七'],[1],['仮借 Loan'],[5],[55012],[51124],['R']
万,5,3,"[' completely/absolutely/totally,', ' 10,000/ten thousand myriad everything/all various]']","['ばん', 'まん']","['｜', 'ノ', '一']",['万'],[2],['象形 Pictographic'],[5],[409412],[404560],['R']
丈,6,3,"[' only/just/merely/simply/no more than/nothing but/alone as much as/to the extent of/enough to,', ' height/stature length (esp. of clothing) all (one has)/everything magnificence (of a waka poem, etc.),', '03 meters (ten shaku) length/measure Mr./Mrs.]']","['だけ', 'たけ', 'じょう']","['ノ', '一', '丶']",['丈'],[7],['会意 Com. Ideographic'],[0],[15154],[10047],['P']
三,7,3,"[' three tri-, サン', ' three]']",['さん'],"['一', '二']",['三'],[1],['指事 Ideographic'],[5],[304749],[151259],['R']
上,8,3,"[' above/up/over/elder (e.g. daughter) top/summit/head (e.g. of a staircase) surface before/previous superiority/one\'s superior/one\'s elder on top of that/besides/what\'s more/not only ... but upon (further inspection, etc.)/based on (and occurring after) matters concerning .../as concerns ... since (i.e. ""for that reason"") 10. honorable/venerable 11. place of one\'s superior (e.g. the throne) 12. emperor/sovereign/shogun/daimyo 13. noblewoman (esp. the wife of a nobleman),', ' upper/upward/outer/surface/top,', ' upper reaches (of a river)/upper stream top/upper part/upper half (of the body) long ago beginning/first person of high rank (e.g. the emperor) government/imperial court imperial capital (i.e. Kyoto)/capital region (i.e. Kansai)/region (or direction of) the imperial palace head (of a table) wife/mistress (of a restaurant),', ' from the standpoint of/as a matter of (e.g. fact)/in the field of/being of the type of aboard (a ship or vehicle)/on top of/on/above first volume (e.g. book) superior quality/best/top/high class going up governmental/imperial presenting/showing ana-]']","['うえ', 'うわ', 'かみ', 'じょう']","['一', '卜']",['上'],[1],['指事 Ideographic'],[5],[862397],[739020],['S']
下,9,3,"["" below/down/under/younger (e.g. daughter) bottom beneath/underneath just after/right after inferiority/one's inferior (i.e. one's junior) trade-in preliminary/preparatory,"", "" under (guidance, supervision, rules, the law, etc.) under (a flag, the sun, etc.)/beneath with (e.g. one blow)/on (the promise, condition, assumption, etc. that ...)/in (e.g. the name of) (somebody's) side/(somebody's) location,"", ' lowness (of degree, value, etc.)/inferiority second volume (of two)/third volume (of three),', ' lower reaches (of a river) bottom/lower part lower half (of the body, esp. the privates)/feces (faeces)/urine/menses end/far from the imperial palace (i.e. far from Kyoto, esp. of western Japan) dirty (e.g. dirty jokes, etc.),', ' under (influence, control, conditions, etc. of)/during (war, occupation, etc.)]']","['した', 'もと', 'げ', 'しも', 'か']","['｜', '一', '卜']",['下'],[1],['指事 Ideographic'],[5],[390613],[328608],['S']
不,10,4,"[' un-/non-/negative prefix,', ' un-/non- bad .../poor ...]']","['ふ', 'ぶ']","['｜', 'ノ', '一', '丶']",['不'],[4],['仮借 Loan'],[4],[379808],[375009],['R']
与,11,3,[' together with ...]'],['むた'],"['勹', '一', '卜']",['与'],[7],['会意 Com. Ideographic'],[3],[149687],[143595],['S']
世,12,5,"[' world/society/public life/lifetime age/era/period/epoch/generation reign/rule the times world (of existence),', ' counter for generations epoch]']","['よ', 'せい']","['｜', '一', '世']",['世'],[3],['象形 Pictographic'],[4],[356337],[337799],['P']
丘,13,5,"[' hill/height/knoll/rising ground bonus points awarded to the winner at the end of a game,', ' mound/hill]']","['おか', 'つかさ']","['一', '斤']",['丘'],[7],['象形 Pictographic'],[1],[9788],[3344],['S']
両,14,6,"[' both (hands, parents, sides, etc.) counter for carriages (e.g. in a train)/counter for vehicles ryō/tael/traditional unit of weight (for gold, silver and drugs), 4-5 monme, 15-19 g ryō/pre-Meiji unit of currency, orig. the value of one ryō of gold ryō/traditional measure of fabric, 2 tan ryō/tael/unit of weight under the Ritsuryo system, 1/16 kin, 42-43 g counter for suits of clothing, sets of armor, etc.,', ' both many/various/all together,', ' two]']","['りょう', 'もろ', 'りゃん']","['｜', '一', '冂', '山']",['両'],[3],['象形 Pictographic'],[3],[152434],[151596],['R']
並,15,8,"[' average/medium/common/ordinary mid-grade (item)/regular grade same level as/equal to/equivalent to/on par with each (e.g. month)/every row of (teeth, houses, etc.)/line of]']",['なみ'],"['｜', '一', '二', '并']",['並'],[6],['会意 Com. Ideographic'],[2],[52167],[46713],['S']
中,16,4,"[' inside/interior/in among/within middle/center/centre during/while/middle/midst/amid interval/gap mean/average second (of three, e.g. sons, volumes)/middle medium grade/medium quality red-light district,', "" inside/within while (e.g. one is young)/during/within (e.g. a day)/in the course of among/amongst/(out) of/between in (secret, chaos, poverty, etc.)/amidst/with (e.g. success) within oneself/one's feelings/inner thoughts we/our company/our organization one's home/one's family my spouse/my husband/my wife signed on behalf of (husband's name) by his wife 10. I/me 11. imperial palace grounds 12. emperor,"", ' medium/average/middle moderation middle school China volume two (of three) during (a certain time when one did or is doing something)/under (construction, etc.)/while in/out of/of the,', ' through/throughout/in the course of all over or throughout (e.g. a place), チュン', ' red dragon tile winning hand with a pung (or kong) of red dragon tiles]']","['なか', 'うち', 'ちゅう', 'じゅう']","['｜', '口']",['中'],[1],['象形 Pictographic'],[5],[1327113],[846645],['S']
丸,17,3,"["" circle entirety/whole/full/complete money/dough/moola enclosure inside a castle's walls soft-shelled turtle suffix for ship names/suffix for names of people (esp. infants)/suffix for names of swords, armour, musical instruments, etc./suffix for names of dogs, horses, etc.,"", ' fishball/meatball pill]']","['まる', 'がん']","['九', '丶']",['丸'],[2],['象形 Pictographic'],[2],[51748],[20149],['S']
丹,18,4,[' red earth (i.e. containing cinnabar or minium)/vermilion]'],['に'],"['ノ', '一', '丶', '亅']",['丹'],[7],['象形 Pictographic'],[1],[11381],[2129],['S']
主,19,5,"[' chief/main/principal/important main secondary or supporting role (in kyogen),', "" (one's) master Lord the main thing/the majority/the primary concern,"", ' head (of a household, etc.)/leader/master owner/proprietor/proprietress subject (of a rumour, etc.)/doer (of a deed) guardian spirit (e.g. long-resident beast, usu. with mystical powers)/long-time resident (or employee, etc.) husband you,', "" head (of a household)/proprietor (of a store)/proprietress/landlord/landlady one's husband (one's) employer/(one's) master host/hostess,"", ' you,', ' honorific (or familiar) suffix used after a name,', "" head (of a household)/proprietor (of a store)/proprietress/landlord/landlady/master (of a servant) entertaining someone as one's guest]""]","['おも', 'しゅ', 'ぬし', 'しゅじん', 'にし', 'す', 'あるじ']","['王', '丶']",['主'],[3],['象形 Pictographic'],[4],[478885],[393309],['S']
乃,20,2,"["" 's/of/belonging to]""]",['の'],"['｜', 'ノ', '一', '乃']",,,,,,,
久,21,3,[],[],"['ノ', '入', '久']",['久'],[5],['象形 Pictographic'],[2],[86023],[15812],['S']
之,22,3,"[' this/this one this person now/this point (in time) here used to stress the subject of a sentence I/me,', "" 's/of/belonging to]""]","['これ', 'れ', 'の']","['乙', '丶', '亠', '廴']",,,,,,,
乎,23,5,[],[],"['ノ', '一', '并', '亅']",,,,,,,
乏,24,4,[],[],"['ノ', '乙', '丶', '亠']",['乏'],[7],['象形 Pictographic'],[1],[6046],[6046],['P']
乗,25,9,"["" (nth) power counter for vehicles multiplication Buddha's teachings]""]",['じょう'],"['｜', 'ノ', '一', '禾', 'ハ']",['乗'],[3],['会意 Com. Ideographic'],[3],[109192],[108840],['S']
乙,26,1,"[' second (party to an agreement)/the B party (e.g. in a contract)/the latter/defendant stylish/chic/spicy/witty/tasty/romantic strange/quaint/queer thank you/good job see you/goodbye/goodnight,', ' second in rank/second sign of the Chinese calendar,', ' younger brother (of an older brother)/younger sister (of an older sister) youngest child young/younger/youngest young and beautiful/cute]']","['おつ', 'きのと', 'おと']",['乙'],['乙'],[7],['象形 Pictographic'],[1],[2172],[1348],['S']
九,27,2,"[' nine, チュー', ' nine]']",['きゅう'],['九'],['九'],[1],['象形 Pictographic'],[5],[83167],[44817],['R']
乞,28,3,[],[],"['ノ', '一', '乙']",['乞'],[7],['象形 Pictographic'],[0],[273],[252],['.']
也,29,3,[' to be to be (location) sum of money]'],['なり'],"['｜', '乙', '匕', '也']",,,,,,,
乱,30,7,[' revolt/rebellion/war]'],['らん'],"['乙', '口', '舌']",['乱'],[6],['会意 Com. Ideographic'],[2],[43946],[43338],['S']
乳,31,8,[' milk breast loop decorative bump (on a hanging bell)]'],['ちち'],"['乙', '子', '爪']",['乳'],[6],['会意 Com. Ideographic'],[2],[18871],[17326],['S']
乾,32,11,"[' drying/dried,', ' qian (one of the trigrams of the I Ching', ' heaven, northwest),', ' northwest]']","['ほし', 'し', 'けん', 'いぬい']","['乙', '十', '日']",['乾'],[7],['会意 Com. Ideographic'],[2],[7656],[7077],['R']
亀,33,11,[' tortoise/turtle heavy drinker turtle crest/turtle mon]'],['かめ'],"['亀', '田', '勹', '乙']",['亀'],[7],['象形 Pictographic'],[1],[20419],[5017],['.']
了,34,2,"[' finish/completion/the end,', ' fact/truth/understanding/consideration]']","['りょう', 'りょう']","['一', '亅']",['了'],[7],['象形 Pictographic'],[2],[46718],[46239],['S']
