,yoji,j1,j1_Meanings,j1_Readings,j2,j2_Meanings,j2_Readings,j3,j3_Meanings,j3_Readings,j4,j4_Meanings,j4_Readings,j12,j12_Meanings,j12_Readings,j34,j34_Meanings,j34_Readings
0,無人脯林,無,"[' nothing/naught/nought/nil/zero un-/non-,', ' un-/non- bad .../poor ...]']","['む', 'ぶ']",人,"[' -ian (e.g. Italian)/-ite (e.g. Tokyoite)/indicates nationality, race, origin, etc. -er (e.g. performer, etc.)/person working with .../indicates expertise (in a certain field) (usu. in compound words) man/person/people,', ' person,', ' man/person human being/mankind/people human (Homo sapiens)/humans as a species character/personality man of talent/true man another person/other people/others adult,', ' counter for people person]']","['じん', 'と', 'ひと', 'にん']",脯,[],[],林,[' woods/forest/copse/thicket bunch/line (of something)/collection]'],['はやし'],無人,[' lack of help unmanned/uninhabited]'],['むじん'],脯林,[],[]
1,棘路地六,棘,"[' thorny shrub wild rose/briar thorn cusp,', ' briars/thicket/the bush,', "" thorn/spine/prickle splinter (esp. lodged in one's flesh)/hard sharp item (esp. lodged in one's throat, e.g. fish bone) biting words]""]","['いばら', 'おどろ', 'とげ']",路,"[' road/street/way/path/course/route/lane distance/ways (e.g. ""a long ways"") the way (of proper conduct, etc.)/one\'s way/morals teachings (esp. Confucian or Buddhist)/dogma field (of medicine, etc.)/subject way/method/means,', "" route/road distance travelled in a day (with decade) one's ..../age ....,"", ' way/road way to .../road to ...]']","['みち', 'じ', 'ち']",地,"[' earth/ground/land/soil place territory bottom (of a package, book, etc.) earth (one of the five elements),', ' earth/soil/dirt/clay/mud the earth (historically, esp. as opposed to the heavens)/the ground/the land low-quality torinoko-gami (containing mud) (period of) refraining from construction in the direction of the god of the earth (in Onmyōdō),', "" ground/land/earth/soil the region in question/the local area skin texture/fabric/material/weave base/background one's true nature narrative (i.e. descriptive part of a story) real life/actuality (in the game of go) captured territory 10. noh chorus 11. (in Japanese dance) accompaniment music 12. (in Japanese music) basic phrase (usu. repetitive) 13. base part (of multiple shamisens)]""]","['ち', 'つち', 'じ']",六,"[' six, リュー', ' six]']",['ろく'],棘路,[],[],地六,[],[]
2,無類之説,無,"[' nothing/naught/nought/nil/zero un-/non-,', ' un-/non- bad .../poor ...]']","['む', 'ぶ']",類,"[' kind/sort/type/class/genus/order/family similar example/parallel/the like,', ' kind/sort/type equal/match/peer]']","['るい', 'たぐい', 'い']",之,"["" this (indicating an item near the speaker, the action of the speaker, or the current topic) this person (usu. indicating someone in one's in-group) now here I (me) certainly,"", ' possessive particle]']","['これ', 'れ', 'の']",説,[' theory/doctrine opinion/view rumour/rumor/gossip/hearsay]'],['せつ'],無類,[' matchless/unequalled/unequaled]'],['むるい'],之説,[],[]
3,背反迎合,背,"[' height/stature,', ' back/spine reverse/rear side height/stature ridge (of a mountain)]']","['せい', 'せ']",反,"[' variable measure of fabric (28.8 cm in width)/for kimonos', ' at least 10 m in length/for haori', ' at least27 m in length/for other clothes', ' at least06 m in length 300 tsubo (991.74 meters square,24506 acres) six ken (10.91 m),', ' anti- antithesis fanqie/traditional Chinese spelling system in which two characters are used', ' the first one for the onset, the second one for rhyme and tone]']","['たん', 'はん']",迎,[],[],合,"[' between-season wear/spring and autumn clothing/spring and fall clothing together condition/situation/state -ish,', '18039 litres (liters)3306 metres square (meters) one-tenth of the way from the base to the summit of a mountain conjunction counter for covered containers counter for matches, battles, etc.]']","['あい', 'い', 'ごう']",背反,[' revolting/rebellion/going against/contradiction/antinomy]'],['はいはん'],迎合,"["" ingratiation/going along with somebody's views/adjusting oneself (to something, to somebody)/flattery,"", ' deuteragonist/secondary or supporting actor in a noh or kyogen play (possibly multiple actors)]']","['げいごう', 'あど']"
4,無双優順,無,"[' nothing/naught/nought/nil/zero un-/non-,', ' un-/non- bad .../poor ...]']","['む', 'ぶ']",双,"[' pair,', ' both many/various/all together]']","['そう', 'もろ']",優,"[' gentle/affectionate,', ' gentle elegant/classy superior/skilled excellent (in marking, grading, etc.) actor]']","['やさ', 'ゆう']",順,[' order/turn obedient/docile/submissive/meek]'],['じゅん'],無双,[' peerless/unparalleled/unparallelled/matchless]'],['むそう'],優順,[],[]
5,解決不動,解,[' solution (of equation)]'],['かい'],決,[' decision/vote]'],['けつ'],不,"[' un-/non-/negative prefix,', ' un-/non- bad .../poor ...]']","['ふ', 'ぶ']",動,[' motion/change/confusion]'],['どう'],解決,[' settlement/solution/resolution]'],['かいけつ'],不動,[' immobility/firmness/fixed/steadfastness/motionless/idle]'],['ふどう']
6,制度関係,制,[' system/organization/organisation/imperial command/laws/regulation/control/government/suppression/restraint/holding back/establishment]'],['せい'],度,"[' time (three times, each time, etc.)/times,', ' degree (angle, temperature, scale, etc.) counter for occurrences and times strength (of alcohol)]']","['たび', 'ど']",関,"[' barrier/gate seki (in go)/mutual life,', ' honorific added to names of makuuchi and juryo division wrestlers]']","['せき', 'ぜき']",係,"[' charge/duty/person in charge/official/clerk connection/linking,', ' charge/duty/person in charge/official/clerk]']","['かかり', 'がかり']",制度,[' system/institution/organization/organisation]'],['せいど'],関係,[' relation/relationship/connection participation/involvement/concern influence/effect sexual relations/sexual relationship related to .../connected to ...]'],['かんけい']
7,覿面人間,覿,[],[],面,"[' face surface mask (esp. a noh or kyogen mask),', ' face/mug surface surrounding area cheek/cheeks,', ' face mask/face guard (in kendo) striking the head surface (esp. a geometrical surface) page aspect/facet/side chamfer counter for broad, flat objects, levels or stages, e.g. in a video game,', ' looking like a .../acting as if a ....]']","['おもて', 'つら', 'めん', 'づら']",人,"[' -ian (e.g. Italian)/-ite (e.g. Tokyoite)/indicates nationality, race, origin, etc. -er (e.g. performer, etc.)/person working with .../indicates expertise (in a certain field) (usu. in compound words) man/person/people,', ' person,', ' man/person human being/mankind/people human (Homo sapiens)/humans as a species character/personality man of talent/true man another person/other people/others adult,', ' counter for people person]']","['じん', 'と', 'ひと', 'にん']",間,"[' space (between)/gap/interval/distance time (between)/pause/break span (temporal or spatial)/stretch/period (while) relationship (between, among) members (within, among) due to/because of,', ' time/pause space room,', ' interval/space/interstice/threshold valley/gorge/ravine loophole (in a wall)/crenel/eyelet,', ' interval/period of time among/between/inter-,', '818 m (6 shaku) counter used to number the gaps between pillars]']","['あいだ', 'ま', 'はざま', 'かん', 'けん']",覿面,[' immediacy/instantaneousness/promptness]'],['てきめん'],人間,"[' human being/person/man/mankind/humankind character (of a person),', ' the world]']","['にんげん', 'じんかん']"
8,政権之策,政,[' rule/government]'],['まつりごと'],権,[' right (to do something) authority/power]'],['けん'],之,"["" this (indicating an item near the speaker, the action of the speaker, or the current topic) this person (usu. indicating someone in one's in-group) now here I (me) certainly,"", ' possessive particle]']","['これ', 'れ', 'の']",策,"[' plan/policy/means/measure/stratagem/scheme,', ' whip/lash/scourge stick/cane/rod/pointer]']","['さく', 'むち']",政権,[' (political) administration/political power]'],['せいけん'],之策,[],[]
9,折々疾足,折,[' opportunity/chance/occasion/time fold/pleat/crease small food box (wooden or cardboard)]'],['おり'],々,[' repetition of kanji (sometimes voiced)]'],['くりかえし'],疾,[],[],足,"[' foot leg gait pace bottom structural component (i.e. radical) of a kanji means of transportation money/coin,', ' counter for pairs (of socks, shoes, etc.)]']","['あし', 'そく']",折々,[' occasionally]'],['おりおり'],疾足,[],[]
10,闊達芥顆,闊,[],[],達,"[' pluralizing suffix (esp. for people & animals; formerly honorific),', ' friend]']","['たち', 'だち']",芥,"[' rubbish/trash/garbage/refuse,', ' trash/rubbish/garbage]']","['ごみ', 'ごもく']",顆,[' condyle counter for grains and small spheres]'],['か'],闊達,[' openhearted/frank/broad-minded]'],['かったつ'],芥顆,[],[]
11,十年随踵,十,"[' ten, シー', ' ten]']",['じゅう'],年,"["" year age/years past one's prime/old age,"", ' year (e.g. AD) counter for years,', ' counter for years (following a number in the hito-futa-mi counting system)]']","['とし', 'ねん', 'とせ']",随,[],[],踵,"[' heel (of foot, shoe, stocking, etc.)]']",['かかと'],十年,[' ten years/decade]'],['じゅうねん'],随踵,[],[]
12,失色雪膚,失,[],[],色,"[' colour/color complexion appearance/look love/lust/sensuality/love affair/lover kind/type/variety,', ' counter for colours,', ' rupa (form) visible objects (i.e. color and form)]']","['いろ', 'しょく', 'しき']",雪,[' snow]'],['ゆき'],膚,[' skin body (in the context of intimate bodily contact) surface/grain (e.g. of wood)/texture disposition/temperament/character/type]'],['はだ'],失色,[],[],雪膚,"["" snow's surface lily-white skin/fair skin]""]",['ゆきはだ']
13,求全不犯,求,[],[],全,[' all/whole/entire/complete/overall pan-/omni-/toti-]'],['ぜん'],不,"[' un-/non-/negative prefix,', ' un-/non- bad .../poor ...]']","['ふ', 'ぶ']",犯,[' perpetrators of (some) crime/(some type of) crime]'],['はん'],求全,[],[],不犯,[' strict observance of the Buddhist commandment that all priests should be celibate]'],['ふぼん']
14,工作謝徳,工,"[' workman/artisan/mechanic/carpenter craft/skill means/idea,', ' (factory) worker]']","['たくみ', 'こう']",作,[' work (e.g. of art)/production harvest/cultivation/farming/crop/yield technique]'],['さく'],謝,[],[],徳,[' virtue benevolence profit/benefit/advantage]'],['とく'],工作,[' handicraft work/construction/manufacturing maneuvering/manoeuvering]'],['こうさく'],謝徳,[],[]
15,音痴不羈,音,[' sound/noise/report note fame Chinese-derived character reading]'],['おと'],痴,"[' foolishness/fool moha (ignorance, folly),', ' foolish thing/stupid thing/absurdity]']","['ち', 'おこ']",不,"[' un-/non-/negative prefix,', ' un-/non- bad .../poor ...]']","['ふ', 'ぶ']",羈,[' headstall/headgear]'],['おもがい'],音痴,[' tone-deafness/amusia/having no ear for music tone-deaf/off-key having no sense (of something)/being hopeless (when it comes to something)]'],['おんち'],不羈,[' freedom/liberty/independence]'],['ふき']
16,帯刀之孝,帯,"[' obi/kimono sash paper wrapper on books, CDs, etc.,', ' band (e.g. conduction, valence)/belt (e.g. Van-Allen, asteroid, etc.)]']","['おび', 'たい']",刀,[' (single-edged) sword/katana dagger/knife scalpel]'],['かたな'],之,"["" this (indicating an item near the speaker, the action of the speaker, or the current topic) this person (usu. indicating someone in one's in-group) now here I (me) certainly,"", ' possessive particle]']","['これ', 'れ', 'の']",孝,[' filial piety]'],['こう'],帯刀,[' wearing a sword]'],['たいとう'],之孝,[],[]
17,世々動向,世,"[' world/society/age/generation,', ' counter for generations epoch]']","['よ', 'せい']",々,[' repetition of kanji (sometimes voiced)]'],['くりかえし'],動,[' motion/change/confusion]'],['どう'],向,[],[],世々,[' for generations/hereditary/generation after generation]'],['だいだい'],動向,[' trend/tendency/movement/attitude]'],['どうこう']
18,生活孤独,生,"[' pure/undiluted/raw/crude,', ' raw/uncooked/fresh natural/as it is/unedited/unprocessed unprotected (i.e. not wearing a condom) live (i.e. not recorded) inexperienced/unpolished/green/crude impudence/sauciness unpasteurized beer/draft beer/draught beer just a little/somehow/vaguely/partially/somewhat/half-/semi- irresponsibly/half-baked 10. cash 11. tipsiness,', ' innocent/naive/unsophisticated/inexperienced/green/wet behind the ears birth-,', ' life/living I/me/myself,', ' vital/virile/lively,', ' area of thick growth (of trees, grass, etc.),', ' boiled and half-dried bonito]']","['き', 'なま', 'うぶ', 'せい', 'いく', 'ふ', 'なまり', 'り']",活,[' living/life judo art of resuscitation action/activity]'],['かつ'],孤,[' orphan]'],['こじ'],独,[' Germany]'],['どく'],生活,"["" living/life (one's daily existence)/livelihood]""]",['せいかつ'],孤独,[' solitude/loneliness/isolation]'],['こどく']
19,聴従指南,聴,[],[],従,"[' subordinate/secondary/junior/incidental,', ' lesser (of equal court ranks)/lower/junior,', ' lesser (of equal court ranks)/lower/junior]']","['じゅう', 'じゅ', 'ひろい']",指,"[' finger/toe/digit,', ' between (e.g. two people)/face to face hindrance/impediment arrhythmic section of recitative in noh music prefix used for stress or emphasis counter for traditional dance songs]']","['ゆび', 'さし', 'し']",南,"[' south, ナン', ' south wind tile winning hand with a pung (or kong) of south wind tiles]']",['みなみ'],聴従,[' following advice]'],['ちょうじゅう'],指南,"[' instruction (in martial arts, performance, etc.)/teaching/coaching]']",['しなん']
20,問題路線,問,"[' question/query,', ' counter for questions]']","['とい', 'い', 'もん']",題,[' title/subject/theme/topic problem (on a test)/question counter for questions (on a test)]'],['だい'],路,"[' road/street/way/path/course/route/lane distance/ways (e.g. ""a long ways"") the way (of proper conduct, etc.)/one\'s way/morals teachings (esp. Confucian or Buddhist)/dogma field (of medicine, etc.)/subject way/method/means,', "" route/road distance travelled in a day (with decade) one's ..../age ....,"", ' way/road way to .../road to ...]']","['みち', 'じ', 'ち']",線,[' line/stripe/stria line (e.g. telephone line)/wire ray (e.g. X-ray)/beam line (e.g. of a railroad)/track/route/lane outline/contours/form level division line (of action)/position/approach/policy/principle impression one leaves/air one gives off]'],['せん'],問題,"[' question (e.g. on a test)/problem problem (e.g. societal, political)/question/issue/subject (e.g. of research)/case/matter question (i.e. doubt) public discussion/controversy trouble/problem/inconvenience/difficulty]']",['もんだい'],路線,[' route/line/alignment]'],['ろせん']
21,内剛百出,内,"["" inside/within while among/amongst/between we (referring to one's in-group, e.g. company, etc.)/our my spouse imperial palace grounds emperor I (primarily used by women and children)/me,"", ' inside/within]']","['うち', 'ない']",剛,[' strong/hard/manly]'],['ごう'],百,[' 100/hundred]'],['ひゃく'],出,"["" coming out/going out/outflow/efflux/rising (of the sun or moon) attending (work)/appearing (on stage)/one's turn to go on start/beginning origins/background/person (or item) originating from .../graduate of .../native of .../member of ... (lineage) architectural member that projects outward highest point of the stern of a ship amount (comprising something)/amount of time or effort required to do something,"", ' coming out/emerging being born into (a certain family)/being a native of (a particular place)]']","['で', 'しゅつ']",内剛,[' tough at heart]'],['ないごう'],百出,[' arise in great numbers]'],['ひゃくしゅつ']
22,思案虎子,思,[],[],案,"[' idea/plan/thought draft plan/motion/rough copy expectation,', ' desk]']","['あん', 'つくえ']",虎,[' tiger (Panthera tigris) drunkard/drunk/sot]'],['とら'],子,"[' child young (animal) young woman/young geisha offshoot interest new shares player who is not a dealer (in cards, mahjong, etc.) bird egg -er (often of young women),', ' first sign of Chinese zodiac (The Rat, 11pm-1am, north, November),', ' fruit/nut seed (in broth) pieces of meat, vegetable, etc. content/substance,', "" child (esp. a boy) viscount master (founder of a school of thought, esp. Confucius) philosophy (branch of Chinese literature)/non-Confucian Hundred Schools of Thought writings you (of one's equals) -er (i.e. a man who spends all his time doing...),"", ' honorific (or familiar) suffix used after a name,', ' child interest]']","['こ', 'ね', 'み', 'し', 'す', 'こう']",思案,[' thought/consideration/deliberation/reflection/rumination/pondering]'],['しあん'],虎子,[' bedpan/chamber pot/potty baby tiger]'],['まる']
23,還元御寮,還,[],[],元,"["" origin/source base/basis/foundation/root cause ingredient/material (somebody's) side/(somebody's) location original cost (or capital, principal, etc.) (plant) root/(tree) trunk first section of a waka counter for blades of grass, tree trunks, etc., and for falcons (in falconry) 10. handle (chopsticks, brush, etc.)/grip,"", ' unknown (e.g. in an equation) element (of a set) yuan (monetary unit of China) Yuan dynasty (China),', ' former/ex-/past/one-time, ユアン', ' yuan (monetary unit of China)]']","['もと', 'げん', 'もと']",御,"[' honorific/polite/humble prefix honorific suffix,', ' honorific affix honorific prefix,', ' august beautiful,', ' august (in ref. to the emperor or the gods)/imperial/divine,', ' honorific/polite/humble prefix]']","['ご', 'ぎょ', 'み', 'おおみ', 'お']",寮,"[' hostel/dormitory bureau (government department beneath a ministry under the ritsuryo system),', ' office/official chief/head (Yaeyama Islands in Okinawa) person (usually a woman) whose duty it is to officiate at religions ceremonies]']","['りょう', 'つかさ']",還元,[' reduction/resolution/deoxidization/deoxidation restoration/return]'],['かんげん'],御寮,[],[]
24,気質教師,気,"[' spirit/mind/heart nature/disposition motivation/intention mood/feelings ambience/atmosphere/mood,', ' seeming/giving the appearance of/giving one the feeling of,', ' -like nature/-like disposition/-ish temperament,', ' sign/indication/trace/touch/feeling somehow/for some reason/seeming to be]']","['き', 'げ', 'ぎ', 'け']",質,"[' quality/value nature/inherent quality/character logical quality,', ' quality/nature (of person),', ' collateral/pledge/pawned article]']","['しつ', 'たち', 'しち']",教,[],[],師,"["" teacher/master/one's mentor religious leader specialist five-battalion brigade comprising 2500 men (Zhou-dynasty Chinese army)]""]",['し'],気質,[' spirit/character/trait/temperament/turn of mind/disposition]'],['きしつ'],教師,[' teacher (classroom)]'],['きょうし']
25,生義自在,生,"[' pure/undiluted/raw/crude,', ' raw/uncooked/fresh natural/as it is/unedited/unprocessed unprotected (i.e. not wearing a condom) live (i.e. not recorded) inexperienced/unpolished/green/crude impudence/sauciness unpasteurized beer/draft beer/draught beer just a little/somehow/vaguely/partially/somewhat/half-/semi- irresponsibly/half-baked 10. cash 11. tipsiness,', ' innocent/naive/unsophisticated/inexperienced/green/wet behind the ears birth-,', ' life/living I/me/myself,', ' vital/virile/lively,', ' area of thick growth (of trees, grass, etc.),', ' boiled and half-dried bonito]']","['き', 'なま', 'うぶ', 'せい', 'いく', 'ふ', 'なまり', 'り']",義,[' morality/righteousness/justice/honour (honor) meaning teachings/doctrine nonconsanguineous relationship (i.e. of in-laws) prosthesis]'],['ぎ'],自,[' self- from ... this ... (in contrast to some other ...)/aforementioned]'],['じ'],在,[' country/countryside outskirts/suburbs situated in/resident in]'],['ざい'],生義,[],[],自在,[' freely/at will]'],['じざい']
26,未聞一水,未,"[' eighth sign of Chinese zodiac (The Ram, 1pm-3pm, south-southwest, June),', ' not yet/un-]']","['ひつじ', 'み']",聞,[],[],一,"[' one best first/foremost beginning/start bottom string (on a shamisen, etc.),', ' one for one thing only (not) even just (e.g. ""just try it""), イー', ' one,', ' most,', ' one one]']","['いち', 'ひとつ', 'つ', 'いっち', 'ひと']",水,"[' water (esp. cool, fresh water, e.g. drinking water) fluid (esp. in an animal tissue)/liquid flood/floodwaters water offered to wrestlers just prior to a bout break granted to wrestlers engaged in a prolonged bout,', ' Wednesday shaved ice (served with flavored syrup) water (fifth of the five elements)]']","['みず', 'すい']",未聞,[' unheard]'],['みもん'],一水,[' current (of water)/drop]'],['いっすい']
