,yoji,yj_pos,yj_reading,j1,j1_Index,j1_Strokes,j1_Meanings,j1_Readings,j1_krad,j1_Kanji,j1_Grade,j1_Kanji Classification,j1_JLPT-test,j1_Kanji Frequency with Proper Nouns,j1_Kanji Frequency without Proper Nouns,j1_Symmetry,j2,j2_Index,j2_Strokes,j2_Meanings,j2_Readings,j2_krad,j2_Kanji,j2_Grade,j2_Kanji Classification,j2_JLPT-test,j2_Kanji Frequency with Proper Nouns,j2_Kanji Frequency without Proper Nouns,j2_Symmetry,j3,j3_Index,j3_Strokes,j3_Meanings,j3_Readings,j3_krad,j3_Kanji,j3_Grade,j3_Kanji Classification,j3_JLPT-test,j3_Kanji Frequency with Proper Nouns,j3_Kanji Frequency without Proper Nouns,j3_Symmetry,j4,j4_Index,j4_Strokes,j4_Meanings,j4_Readings,j4_krad,j4_Kanji,j4_Grade,j4_Kanji Classification,j4_JLPT-test,j4_Kanji Frequency with Proper Nouns,j4_Kanji Frequency without Proper Nouns,j4_Symmetry,bg1,bg1_Meanings,bg1_Readings,bg2,bg2_Meanings,bg2_Readings
5,左顧右眄,"['n,vs']",さこうべん,左,682,5,"[' left/left hand side,', ' left (esp. in vertical Japanese writing)/the following]']","['ひだり', 'さ']","['ノ', '一', '工']",['左'],[1],['会意 Com. Ideographic'],[5],[102910],[100234],['R'],顧,2621,21,[],[],"['貝', '目', 'ハ', '戸', '頁', '隹', '一', '尸']",['顧'],[7],['会意 Com. Ideographic'],[1],[25207],[25205],['S'],右,337,5,[' right/right-hand side afore-mentioned (esp. in vertical Japanese writing)/foregoing/forgoing/above]'],['みぎ'],"['ノ', '一', '口']",['右'],[1],['会意 Com. Ideographic'],[5],[118918],[116443],['R'],眄,1637,9,[],[],"['目', '一', '山', '亅']",,,,,,,,左顧,[],[],左顧,[],[]
6,右顧左眄,"['n,vs']",うこさべん,右,337,5,[' right/right-hand side afore-mentioned (esp. in vertical Japanese writing)/foregoing/forgoing/above]'],['みぎ'],"['ノ', '一', '口']",['右'],[1],['会意 Com. Ideographic'],[5],[118918],[116443],['R'],顧,2621,21,[],[],"['貝', '目', 'ハ', '戸', '頁', '隹', '一', '尸']",['顧'],[7],['会意 Com. Ideographic'],[1],[25207],[25205],['S'],左,682,5,"[' left/left hand side,', ' left (esp. in vertical Japanese writing)/the following]']","['ひだり', 'さ']","['ノ', '一', '工']",['左'],[1],['会意 Com. Ideographic'],[5],[102910],[100234],['R'],眄,1637,9,[],[],"['目', '一', '山', '亅']",,,,,,,,右顧,[],[],右顧,[],[]
7,戮力協心,"['n,vs']",りくりょくきょうしん,戮,910,15,[],[],"['羽', '𠆢', '冫', '彡', '戈']",,,,,,,,力,253,2,"[' force/strength/might/vigour/vigor/energy capability/ability/proficiency/capacity/faculty efficacy/effect effort/endeavours/endeavors/exertions power/authority/influence/good offices/agency support/help/aid/assistance stress/emphasis means/resources,', ' strength/power/proficiency/ability the strength of ... people/the strength of ... men,', ' strength/power/proficiency/ability]']","['ちから', 'りき', 'りょく']",['力'],['力'],[1],['象形 Pictographic'],[4],[489194],[474012],['P'],協,295,8,[],[],"['十', '力']",['協'],[4],['形声 Phonetic'],[2],[248079],[241560],['S'],心,787,4,"[' mind/heart/spirit the meaning of a phrase (riddle, etc.),', ' heart/mind/spirit/vitality/inner strength bottom of one\'s heart/core (of one\'s character)/nature centre/center/core/heart heart (organ) Chinese ""Heart"" constellation (one of the 28 mansions) friend]']","['こころ', 'しん']",['心'],['心'],[2],['象形 Pictographic'],[4],[258654],[256954],['P'],戮力,[],[],戮力,[],[]
17,豪華絢爛,"['adj-na,adj-no,adj-t,adv-to']",ごうかけんらん,豪,2265,14,"[' strong/hard/manly,', ' tremendous/huge,', ' Australia]']","['ごう', 'えら', 'ごう']","['口', '亠', '冖', '豕']",['豪'],[7],['形声 Phonetic'],[1],[31718],[15193],['R'],華,2033,10,"[' flower/blossom/bloom/petal cherry blossom beauty blooming (esp. of cherry blossoms) ikebana hanafuda (the) best glorious/lovely,', ' flashiness/showiness/brilliance/splendor bloom/flowers]']","['はな', 'か']","['｜', '一', '⺾']",['華'],[7],['象形 Pictographic'],[1],[23238],[16688],['S'],絢,1833,12,[],[],"['糸', '幺', '小', '日', '勹']",,,,,,,,爛,1485,21,[' brilliant/bright]'],['らん'],"['｜', '火', '日', 'ハ', '木', '門']",,,,,,,,豪華,[' extravagant/lavish/opulent/luxurious/magnificent/splendid/fancy/gorgeous]'],['ごうか'],豪華,[' extravagant/lavish/opulent/luxurious/magnificent/splendid/fancy/gorgeous]'],['ごうか']
21,死屍累累,"['adj-no,adj-t,adv-to']",ししるいるい,死,1265,6,[' death/decease death penalty (by strangulation or decapitation) (an) out]'],['し'],"['一', '夕', '匕', '歹']",['死'],[3],['会意 Com. Ideographic'],[4],[236326],[236271],['S'],屍,647,9,"[' corpse kanji ""corpse"" radical]']",['しかばね'],"['一', '夕', '匕', '尸', '歹']",,,,,,,,累,1823,11,[' trouble/harmful effect/evil influence/implication/involvement]'],['るい'],"['糸', '幺', '小', '田']",['累'],[7],['形声 Phonetic'],[1],[3693],[3693],['R'],累,1823,11,[' trouble/harmful effect/evil influence/implication/involvement]'],['るい'],"['糸', '幺', '小', '田']",['累'],[7],['形声 Phonetic'],[1],[3693],[3693],['R'],死屍,[' corpse]'],['しし'],死屍,[' corpse]'],['しし']
22,喧喧囂囂,"['adj-no,adj-t,adv-to,n']",けんけんごうごう,喧,410,12,[],[],"['一', '口', '日', '宀']",,,,,,,,喧,410,12,[],[],"['一', '口', '日', '宀']",,,,,,,,囂,434,21,[],[],"['一', '口', '自', 'ハ']",,,,,,,,囂,434,21,[],[],"['一', '口', '自', 'ハ']",,,,,,,,喧喧,[],[],喧喧,[],[]
23,侃侃諤諤,"['adj-no,adj-t,adv-to']",かんかんがくがく,侃,104,8,[],[],"['⺅', '口', '川']",,,,,,,,侃,104,8,[],[],"['⺅', '口', '川']",,,,,,,,諤,2232,16,[],[],"['言', '口', '二', '勹']",,,,,,,,諤,2232,16,[],[],"['言', '口', '二', '勹']",,,,,,,,侃侃,[],[],侃侃,[],[]
24,縷縷綿綿,"['adj-t,adv-to']",るるめんめん,縷,1872,17,[],[],"['｜', '一', '口', '糸', '幺', '小', '女']",,,,,,,,縷,1872,17,[],[],"['｜', '一', '口', '糸', '幺', '小', '女']",,,,,,,,綿,1851,14,"[' cotton,', ' cotton plant (Gossypium spp.) batting/wadding/padding]']","['めん', 'わた']","['巾', '糸', '幺', '小', '白']",['綿'],[5],['会意 Com. Ideographic'],[2],[10568],[8624],['S'],綿,1851,14,"[' cotton,', ' cotton plant (Gossypium spp.) batting/wadding/padding]']","['めん', 'わた']","['巾', '糸', '幺', '小', '白']",['綿'],[5],['会意 Com. Ideographic'],[2],[10568],[8624],['S'],縷縷,[' continuously/unbroken/at great length/in minute detail]'],['るる'],縷縷,[' continuously/unbroken/at great length/in minute detail]'],['るる']
38,三面六臂,['n'],さんめんろっぴ,三,7,3,"[' three tri-, サン', ' three]']",['さん'],"['一', '二']",['三'],[1],['指事 Ideographic'],[5],[304749],[151259],['R'],面,2585,9,"[' face surface mask (esp. a noh or kyogen mask),', ' face/mug surface cheek meat cheek/cheeks surrounding area,', ' face mask/face guard (in kendo) striking the head surface (esp. a geometrical surface) page aspect/facet/side chamfer counter for broad, flat objects, levels or stages, e.g. in a video game,', ' looking like a .../acting as if a ...]']","['おもて', 'つら', 'めん', 'づら']",['面'],['面'],[3],['象形 Pictographic'],[3],[232121],[231082],['P'],六,187,4,"[' six, リュー', ' six]']",['ろく'],"['ハ', '亠']",['六'],[1],['仮借 Loan'],[5],[57761],[49930],['R'],臂,1975,17,[' elbow]'],['ひじ'],"['月', '口', '十', '辛', '立', '尸']",,,,,,,,三面,[' three sides/three faces/page three (of a newspaper)]'],['さんめん'],三面,[' three sides/three faces/page three (of a newspaper)]'],['さんめん']
39,一擲千金,['n'],いってきせんきん,一,2,1,"[' one best first/foremost beginning/start a (single)/one (of many) ace (playing card) bottom string (on a shamisen, etc.),', ' one for one thing only (not) even just (e.g. ""just try it"") some kind of/one type of, イー', ' one,', ' most/best,', ' one one,', ' one same (mind, path, etc.)]']","['いち', 'ひとつ', 'つ', 'いっち', 'ひと', 'いつ']",['一'],['一'],[1],['指事 Ideographic'],[5],[1037182],[848362],['R'],擲,1025,18,[],[],"['大', '酉', '并', '⻏', '扌']",,,,,,,,千,289,3,"[' 1,000/thousand]']",['せん'],"['ノ', '十']",['千'],[1],['形声 Phonetic'],[5],[132016],[36665],['R'],金,2461,8,"[' money metal,', ' gold (Au)/golden (color)/gold (medal, cup) valuable/of highest value money/gold coin Friday metal (fourth of the five elements) Jin dynasty (China, 1115-1234)/Chin dynasty/Jurchen dynasty gold general testicles karat/carat,', ' gold gold coin gold colour (color)]']","['かね', 'きん', 'こがね']",['金'],['金'],[1],['象形 Pictographic'],[5],[589350],[516324],['S'],一擲,[' casting off/casting away]'],['いってき'],一擲,[' casting off/casting away]'],['いってき']
42,一気呵成,['n'],いっきかせい,一,2,1,"[' one best first/foremost beginning/start a (single)/one (of many) ace (playing card) bottom string (on a shamisen, etc.),', ' one for one thing only (not) even just (e.g. ""just try it"") some kind of/one type of, イー', ' one,', ' most/best,', ' one one,', ' one same (mind, path, etc.)]']","['いち', 'ひとつ', 'つ', 'いっち', 'ひと', 'いつ']",['一'],['一'],[1],['指事 Ideographic'],[5],[1037182],[848362],['R'],気,1287,6,"[' spirit/mind/heart nature/disposition motivation/intention mood/feelings ambience/atmosphere/mood,', ' seeming/giving the appearance of/giving one the feeling of,', ' -like nature/-like disposition/-ish temperament,', ' sign/indication/trace/touch/feeling somehow/for some reason/seeming to be]']","['き', 'げ', 'ぎ', 'け']","['气', '丶', 'ノ']",['気'],[1],['形声 Phonetic'],[5],[387806],[378575],['P'],呵,366,8,[' scolding]'],"['しかり', 'り']","['口', '亅']",,,,,,,,成,903,6,[],[],"['ノ', '戈']",['成'],[4],['会意 Com. Ideographic'],[3],[362233],[314970],['S'],一気,[' one breath chug!/drink!]'],['いっき'],一気,[' one breath chug!/drink!]'],['いっき']
44,渾然一体,['n'],こんぜんいったい,渾,1389,12,[],[],"['車', '氵', '冖']",,,,,,,,然,1466,12,"[' -like,', ' so/like that/in that way,', ' like that/as such yeah/uh-huh]']","['ぜん', 'さ', 'しか']","['犬', '夕', '灬']",['然'],[4],['会意 Com. Ideographic'],[3],[95276],[95022],['P'],一,2,1,"[' one best first/foremost beginning/start a (single)/one (of many) ace (playing card) bottom string (on a shamisen, etc.),', ' one for one thing only (not) even just (e.g. ""just try it"") some kind of/one type of, イー', ' one,', ' most/best,', ' one one,', ' one same (mind, path, etc.)]']","['いち', 'ひとつ', 'つ', 'いっち', 'ひと', 'いつ']",['一'],['一'],[1],['指事 Ideographic'],[5],[1037182],[848362],['R'],体,91,7,"[' body torso/trunk build/physique/frame/figure health/constitution corpse/dead body,', ' body/physique/posture shape/form/style substance/identity/reality field counter for humanoid forms (e.g. dolls, statues, corpses, etc.) typeface/type,', ' appearance/air/condition/state/form]']","['からだ', 'たい', 'てい']","['木', '一', '⺅']",['体'],[2],['形声 Phonetic'],[4],[440216],[430860],['P'],渾然,[' whole/entire/harmonious/well-rounded]'],['こんぜん'],渾然,[' whole/entire/harmonious/well-rounded]'],['こんぜん']
