,yoji,j1,j1_Meanings,j1_Readings,j2,j2_Meanings,j2_Readings,j3,j3_Meanings,j3_Readings,j4,j4_Meanings,j4_Readings,j12,j12_Meanings,j12_Readings,j34,j34_Meanings,j34_Readings
0,事膝采中,事,"[' thing/matter incident/occurrence/event/something serious/trouble/crisis circumstances/situation/state of affairs work/business/affair after an inflectable word, creates a noun phrase indicating something the speaker does not feel close to nominalizing suffix pretending to .../playing make-believe ... alias/aka/nickname/alternative name/also known as,', ' individual concrete phenomenon (as opposed to a general principle),', ' nominalizing suffix pretending to .../playing make-believe ...]']","['こと', 'じ', 'ごと']",膝,[' knee lap/knee and thigh (while sitting)]'],['ひざ'],采,[' dice/die baton (of command)]'],['さい'],中,"[' inside/in among/within center (centre)/middle during/while,', "" inside/within while among/amongst/between we (referring to one's in-group, e.g. company, etc.)/our my spouse imperial palace grounds emperor I (primarily used by women and children)/me,"", ' medium/average/middle moderation middle school China volume two (of three) during (a certain time when one did or is doing something)/under (construction, etc.)/while in/out of (e.g. three out of ten people),', ' through/throughout/in the course of all over or throughout (e.g. a place), チュン', ' red dragon tile winning hand with a pung (or kong) of red dragon tiles]']","['なか', 'うち', 'ちゅう', 'じゅう']",事膝,,,采中,,
1,倉潮久弓,倉,[' warehouse/storehouse/cellar/magazine/granary/godown/depository/treasury/elevator]'],['くら'],潮,[' tide/current salt water opportunity]'],['しお'],久,[],[],弓,"[' bow (and arrow) archery bow (for a violin, etc.),', ' bow (and arrow) unit of distance to an archery target (approx. six feet) unit of distance for land surveying (approx. eight feet),', ' bow (and arrow; esp. of a noble)]']","['ゆみ', 'きゅう', 'たらし']",倉潮,,,久弓,,
2,拠文町次,拠,[' grounds/foundation/authority support/prop/something upon which to rely]'],"['よりどころ', 'り']",文,"[' letter/writings,', ' sentence composition/text/writings the literary arts (as opposed to the military arts)/academia/literature,', "" figure/design twill weave/pattern of diagonal stripes style (of writing)/figure (of speech) design/plot/plan minor market fluctuation/technical correction cat's cradle lease rod (in a loom),"", ' one-thousandth of a kan (obsolete unit of currency)4 cm (traditional unit used to measure shoe sizes) letter/character/sentence scripture/incantation]']","['ふみ', 'ぶん', 'あや', 'もん']",町,[' town/block/neighbourhood/neighborhood street/road 109.09 m99 hectares downtown/main street]'],['まち'],次,"[' next/following/subsequent stage/station,', ' next hypo- (i.e. containing an element with low valence) order/sequence/time/times]']","['つぎ', 'じ']",拠文,,,町次,,
3,扇不那中,扇,[' folding fan]'],['おうぎ'],不,"[' un-/non-/negative prefix,', ' un-/non- bad .../poor ...]']","['ふ', 'ぶ']",那,[],[],中,"[' inside/in among/within center (centre)/middle during/while,', "" inside/within while among/amongst/between we (referring to one's in-group, e.g. company, etc.)/our my spouse imperial palace grounds emperor I (primarily used by women and children)/me,"", ' medium/average/middle moderation middle school China volume two (of three) during (a certain time when one did or is doing something)/under (construction, etc.)/while in/out of (e.g. three out of ten people),', ' through/throughout/in the course of all over or throughout (e.g. a place), チュン', ' red dragon tile winning hand with a pung (or kong) of red dragon tiles]']","['なか', 'うち', 'ちゅう', 'じゅう']",扇不,,,那中,,
4,両近怱分,両,"[' both (e.g. both shoulders, etc.) ryo (obsolete unit of currency) 41-42 g (one sixteenth of a kin) 2 tan (measure of fabric size) counter for carriages (e.g. in a train)/counter for vehicles,', ' both many/various/all together,', ' two]']","['りょう', 'もろ', 'りゃん']",近,[],[],怱,[],[],分,"[' minute fun (one tenth of a monme,787 grains),', ' one-tenth/one percent (one-tenth of a wari)/3 mm (one-tenth of a sun)/2.4 mm (one-tenth of a mon, a traditional unit used to measure shoe sizes)/0.1 degree (one-tenth of a do, used to measure body temperature on any temperature scale) one-quarter of a ryou (obsolete unit of currency) thickness advantageous circumstances one-tenth of a monme of silver,', "" part/segment/share/ration rate degree/one's lot/one's status/relation/duty/kind/lot in proportion to/just as much as]""]","['ふん', 'ぶ', 'ぶん']",両近,,,怱分,,
5,子入裂兵,子,"[' child young (animal) young woman/young geisha offshoot interest new shares player who is not a dealer (in cards, mahjong, etc.) bird egg -er (often of young women),', ' first sign of Chinese zodiac (The Rat, 11pm-1am, north, November),', ' fruit/nut seed (in broth) pieces of meat, vegetable, etc. content/substance,', "" child (esp. a boy) viscount master (founder of a school of thought, esp. Confucius) philosophy (branch of Chinese literature)/non-Confucian Hundred Schools of Thought writings you (of one's equals) -er (i.e. a man who spends all his time doing...),"", ' honorific (or familiar) suffix used after a name,', ' child interest]']","['こ', 'ね', 'み', 'し', 'す', 'こう']",入,"[' entering setting (of the sun) containing/content/audience income beginning,', ' counter for soakings (of fabric in a dye)]']","['いり', 'り', 'しお']",裂,[],[],兵,"[' war/battle/campaign/fight troops/forces,', ' (common) soldier/rank and file army/troops warfare/strategy,', ' warrior/soldier courageous person/strong person]']","['いくさ', 'へい', 'つわもの']",子入,,,裂兵,,
6,算休目発,算,[' divining sticks counting/calculation]'],['さん'],休,[],[],目,"[' eye/eyeball eyesight/sight/vision look/stare/glance an experience viewpoint stitch/texture/weave ordinal number suffix somewhat/-ish,', ' order item (of a budget revision, etc.) counter for go pieces/counter for surrounded positions (in go)]']","['め', 'もく']",発,"[' departure/departing (from ...)/departing (at time ...) sending/sent (by ...)/sent (at ...) engine green dragon tile counter for gunshots, bursts of gas, etc./counter for bullets, bombs, etc./counter for blows (punches)]']",['はつ'],算休,,,目発,,
7,調知車軽,調,"[' pitch/tone/key time/tempo mood/tendency/style tax paid in kind (ritsuryo period)/first a tax on rice fields and households, then on individuals]']",['ちょう'],知,[' wisdom jnana (higher knowledge)]'],['ち'],車,"[' car/automobile/vehicle wheel,', ' car/vehicle]']","['くるま', 'しゃ']",軽,"[' light (e.g. vehicle, aircraft, etc.)]']",['けい'],調知,,,車軽,,
8,面軻漏明,面,"[' face surface mask (esp. a noh or kyogen mask),', ' face/mug surface surrounding area cheek/cheeks,', ' face mask/face guard (in kendo) striking the head surface (esp. a geometrical surface) page aspect/facet/side chamfer counter for broad, flat objects, levels or stages, e.g. in a video game,', ' looking like a .../acting as if a ....]']","['おもて', 'つら', 'めん', 'づら']",軻,[],[],漏,[],[],明,"[' vidya (wisdom) mantra the coming (4th of July, etc.),', ' brightness clarity/acumen power of vision,', ' Ming (dynasty of China, 1368-1644),', ' clearly/brightly cleanly/purely]']","['みょう', 'めい', 'みん', 'さや']",面軻,,,漏明,,
9,車行命道,車,"[' car/automobile/vehicle wheel,', ' car/vehicle]']","['くるま', 'しゃ']",行,"[' line (i.e. of text)/row/verse carya (austerities) samskara (formations) running script (a semi-cursive style of kanji),', ' going/travelling (traveling) type of classical Chinese verse (usu. an epic) district (of similar merchants)/guild bank]']","['ぎょう', 'こう']",命,"[' life/life force lifetime/lifespan most important thing/foundation/core paired tattoos of the ""life"" kanji on the upper arms of a man and woman (indicating unwavering love) fate/destiny/karma,', ' command/decree life destiny,', ' Lord/Highness you,', ' the spoken words of the emperor or a noble]']","['いのち', 'めい', 'みこと', 'みこと']",道,"[' road/street/way/path/course/route/lane distance/ways (e.g. ""a long ways"") the way (of proper conduct, etc.)/one\'s way/morals teachings (esp. Confucian or Buddhist)/dogma field (of medicine, etc.)/subject way/method/means,', ' road way Buddhist teachings Taoism modern administrative region of Japan (Hokkaido) historical administrative region of Japan (Tokaido, Tosando, etc.) province (Tang-era administrative region of China) province (modern administrative region of Korea),', ' way/road way to .../road to ...]']","['みち', 'どう', 'ち']",車行,,,命道,,
